team2Score,team1Score,team1,team2
120,98,Houston Rockets,Oklahoma City Thunder
89,110,San Antonio Spurs,Orlando Magic
84,82,Portland Trail Blazers,Washington Wizards
106,105,Denver Nuggets,Golden State Warriors
105,100,San Antonio Spurs,Miami Heat
111,113,Cleveland Cavaliers,Atlanta Hawks
96,78,Portland Trail Blazers,Boston Celtics
98,104,Philadelphia 76ers,Charlotte Bobcats
122,103,Denver Nuggets,Los Angeles Lakers
90,78,Detroit Pistons,Memphis Grizzlies
95,85,Milwaukee Bucks,Minnesota Timberwolves
108,87,Washington Wizards,New York Knicks
106,94,Utah Jazz,Oklahoma City Thunder
86,98,Brooklyn Nets,Orlando Magic
92,97,Indiana Pacers,Sacramento Kings
101,97,Phoenix Suns,Toronto Raptors
93,88,Philadelphia 76ers,Chicago Bulls
117,118,Portland Trail Blazers,Cleveland Cavaliers
92,77,Detroit Pistons,Dallas Mavericks
103,92,Indiana Pacers,Golden State Warriors
124,116,Utah Jazz,Houston Rockets
116,81,Sacramento Kings,Los Angeles Clippers
102,89,Brooklyn Nets,Miami Heat
91,88,Boston Celtics,Milwaukee Bucks
79,100,Oklahoma City Thunder,New Orleans Hornets
99,95,Memphis Grizzlies,San Antonio Spurs
103,113,Orlando Magic,Los Angeles Lakers
106,99,Phoenix Suns,New York Knicks
112,118,Portland Trail Blazers,Charlotte Bobcats
113,110,Toronto Raptors,Denver Nuggets
89,79,Cleveland Cavaliers,Detroit Pistons
94,102,Orlando Magic,Golden State Warriors
102,81,Milwaukee Bucks,New Orleans Hornets
104,105,Los Angeles Clippers,Utah Jazz
111,117,Oklahoma City Thunder,Brooklyn Nets
76,80,Indiana Pacers,Chicago Bulls
107,105,Los Angeles Lakers,Houston Rockets
108,98,Phoenix Suns,Memphis Grizzlies
88,105,Minnesota Timberwolves,Philadelphia 76ers
105,101,Miami Heat,Washington Wizards
108,104,Denver Nuggets,Atlanta Hawks
104,94,Minnesota Timberwolves,Boston Celtics
98,100,New York Knicks,Charlotte Bobcats
85,95,Chicago Bulls,Cleveland Cavaliers
97,104,Golden State Warriors,Detroit Pistons
99,92,Portland Trail Blazers,Indiana Pacers
112,90,Dallas Mavericks,Los Angeles Clippers
87,103,Los Angeles Lakers,New Orleans Hornets
107,100,Toronto Raptors,Sacramento Kings
110,99,Milwaukee Bucks,San Antonio Spurs
87,81,Orlando Magic,Utah Jazz
92,112,New York Knicks,Miami Heat
94,97,Dallas Mavericks,Phoenix Suns
104,95,Washington Wizards,Atlanta Hawks
102,109,Golden State Warriors,Brooklyn Nets
104,108,Chicago Bulls,Detroit Pistons
89,92,Denver Nuggets,Indiana Pacers
108,93,Charlotte Bobcats,Milwaukee Bucks
91,73,Cleveland Cavaliers,Minnesota Timberwolves
89,96,Memphis Grizzlies,New Orleans Hornets
114,108,Los Angeles Lakers,Oklahoma City Thunder
95,94,Boston Celtics,Philadelphia 76ers
91,82,Orlando Magic,Sacramento Kings
114,92,Houston Rockets,San Antonio Spurs
131,99,Toronto Raptors,Utah Jazz
92,79,Philadelphia 76ers,Boston Celtics
102,132,San Antonio Spurs,Charlotte Bobcats
93,85,New York Knicks,Chicago Bulls
97,104,Detroit Pistons,Cleveland Cavaliers
109,116,Dallas Mavericks,Houston Rockets
117,99,Phoenix Suns,Los Angeles Clippers
83,93,Atlanta Hawks,Memphis Grizzlies
106,90,New Orleans Hornets,Miami Heat
80,99,Sacramento Kings,Portland Trail Blazers
97,101,Golden State Warriors,Washington Wizards
88,97,Milwaukee Bucks,Brooklyn Nets
102,83,Toronto Raptors,Los Angeles Clippers
110,117,Utah Jazz,Los Angeles Lakers
112,106,Denver Nuggets,New York Knicks
104,93,Indiana Pacers,Oklahoma City Thunder
90,98,Orlando Magic,Phoenix Suns
96,104,Golden State Warriors,Charlotte Bobcats
119,96,Sacramento Kings,Dallas Mavericks
126,134,San Antonio Spurs,Houston Rockets
101,92,Atlanta Hawks,Miami Heat
104,97,Detroit Pistons,Philadelphia 76ers
92,74,Toronto Raptors,Portland Trail Blazers
97,100,New York Knicks,Brooklyn Nets
89,94,Los Angeles Clippers,Chicago Bulls
100,94,Los Angeles Lakers,Cleveland Cavaliers
94,101,Denver Nuggets,Detroit Pistons
70,77,Washington Wizards,New Orleans Hornets
117,115,Dallas Mavericks,Boston Celtics
94,100,Los Angeles Clippers,Charlotte Bobcats
99,93,Washington Wizards,Houston Rockets
96,81,Cleveland Cavaliers,Indiana Pacers
95,97,Golden State Warriors,Miami Heat
98,85,Sacramento Kings,Milwaukee Bucks
108,105,Denver Nuggets,Minnesota Timberwolves
92,88,New Orleans Hornets,Oklahoma City Thunder
80,86,Atlanta Hawks,Orlando Magic
89,96,Chicago Bulls,Philadelphia 76ers
82,80,Memphis Grizzlies,Phoenix Suns
88,94,Brooklyn Nets,Toronto Raptors
99,96,San Antonio Spurs,Utah Jazz
113,90,Charlotte Bobcats,Atlanta Hawks
116,107,Los Angeles Lakers,New York Knicks
98,90,San Antonio Spurs,Portland Trail Blazers
107,105,Detroit Pistons,Brooklyn Nets
86,90,Milwaukee Bucks,Cleveland Cavaliers
99,94,Memphis Grizzlies,Denver Nuggets
101,89,Boston Celtics,Houston Rockets
95,85,Philadelphia 76ers,Indiana Pacers
102,113,Minnesota Timberwolves,New Orleans Hornets
113,103,Sacramento Kings,Oklahoma City Thunder
99,85,Golden State Warriors,Orlando Magic
99,84,Utah Jazz,Phoenix Suns
95,74,Dallas Mavericks,Toronto Raptors
96,102,Los Angeles Lakers,Washington Wizards
93,115,Golden State Warriors,Atlanta Hawks
98,107,Orlando Magic,Charlotte Bobcats
83,82,Brooklyn Nets,Chicago Bulls
77,88,Indiana Pacers,Detroit Pistons
102,72,Washington Wizards,Miami Heat
85,111,Los Angeles Clippers,Milwaukee Bucks
114,106,Dallas Mavericks,Minnesota Timberwolves
103,102,Cleveland Cavaliers,New York Knicks
103,88,Boston Celtics,San Antonio Spurs
86,99,Memphis Grizzlies,Utah Jazz
98,111,Los Angeles Lakers,Philadelphia 76ers
95,94,New Orleans Hornets,Portland Trail Blazers
97,122,Denver Nuggets,Sacramento Kings
103,96,Houston Rockets,Toronto Raptors
76,88,Los Angeles Clippers,Detroit Pistons
80,71,Chicago Bulls,Memphis Grizzlies
96,109,Houston Rockets,New York Knicks
107,93,San Antonio Spurs,Oklahoma City Thunder
102,93,Minnesota Timberwolves,Orlando Magic
101,90,Sacramento Kings,Phoenix Suns
90,92,Utah Jazz,Brooklyn Nets
100,89,Boston Celtics,Chicago Bulls
99,113,Toronto Raptors,Cleveland Cavaliers
107,100,Philadelphia 76ers,Dallas Mavericks
112,106,San Antonio Spurs,Denver Nuggets
103,96,New Orleans Hornets,Golden State Warriors
101,100,Charlotte Bobcats,Los Angeles Lakers
103,92,Minnesota Timberwolves,Miami Heat
98,93,Indiana Pacers,Milwaukee Bucks
95,100,Atlanta Hawks,Washington Wizards
92,100,Oklahoma City Thunder,Atlanta Hawks
103,91,Cleveland Cavaliers,Boston Celtics
125,103,Philadelphia 76ers,Houston Rockets
104,84,Utah Jazz,Indiana Pacers
93,77,New Orleans Hornets,Los Angeles Clippers
90,80,Milwaukee Bucks,Memphis Grizzlies
100,86,Brooklyn Nets,New York Knicks
90,83,Washington Wizards,Orlando Magic
121,104,Charlotte Bobcats,Phoenix Suns
131,127,Golden State Warriors,Sacramento Kings
97,91,Detroit Pistons,Toronto Raptors
95,110,Miami Heat,Dallas Mavericks
99,93,Oklahoma City Thunder,Minnesota Timberwolves
101,93,Denver Nuggets,Portland Trail Blazers
94,99,Milwaukee Bucks,Boston Celtics
89,99,Indiana Pacers,Cleveland Cavaliers
100,68,Washington Wizards,Detroit Pistons
115,100,Charlotte Bobcats,Golden State Warriors
97,85,Sacramento Kings,Los Angeles Clippers
92,82,Dallas Mavericks,Memphis Grizzlies
106,110,Chicago Bulls,New York Knicks
99,80,Atlanta Hawks,Philadelphia 76ers
99,94,New Orleans Hornets,San Antonio Spurs
93,90,Orlando Magic,Toronto Raptors
92,75,Chicago Bulls,Atlanta Hawks
110,88,Charlotte Bobcats,Denver Nuggets
115,118,Los Angeles Lakers,Golden State Warriors
121,96,Memphis Grizzlies,Houston Rockets
105,89,Utah Jazz,Miami Heat
82,94,Cleveland Cavaliers,Milwaukee Bucks
75,81,Indiana Pacers,New Orleans Hornets
96,93,Phoenix Suns,Portland Trail Blazers
87,96,Detroit Pistons,Washington Wizards
95,92,Philadelphia 76ers,Brooklyn Nets
94,91,Minnesota Timberwolves,New York Knicks
93,97,Utah Jazz,Orlando Magic
77,103,Los Angeles Clippers,Phoenix Suns
108,96,Portland Trail Blazers,Sacramento Kings
129,91,Dallas Mavericks,San Antonio Spurs
76,93,Boston Celtics,Brooklyn Nets
97,120,Houston Rockets,Chicago Bulls
112,100,Denver Nuggets,Los Angeles Clippers
100,94,New York Knicks,Los Angeles Lakers
103,97,Oklahoma City Thunder,Miami Heat
126,119,Detroit Pistons,Atlanta Hawks
92,105,Miami Heat,Charlotte Bobcats
126,114,Los Angeles Lakers,Denver Nuggets
89,99,Philadelphia 76ers,Memphis Grizzlies
108,93,Brooklyn Nets,Milwaukee Bucks
84,87,Houston Rockets,Minnesota Timberwolves
94,97,New Orleans Hornets,Orlando Magic
97,99,New York Knicks,Phoenix Suns
109,91,Sacramento Kings,Portland Trail Blazers
100,80,Toronto Raptors,San Antonio Spurs
83,94,Golden State Warriors,Utah Jazz
84,87,Cleveland Cavaliers,Washington Wizards
106,77,Boston Celtics,Los Angeles Clippers
111,105,Dallas Mavericks,Oklahoma City Thunder
97,81,Charlotte Bobcats,Brooklyn Nets
94,102,Atlanta Hawks,Cleveland Cavaliers
85,106,Denver Nuggets,Dallas Mavericks
109,99,Miami Heat,Detroit Pistons
96,89,Philadelphia 76ers,Golden State Warriors
97,91,Phoenix Suns,Indiana Pacers
104,87,Portland Trail Blazers,Los Angeles Lakers
97,104,Toronto Raptors,New Orleans Hornets
106,105,New York Knicks,Sacramento Kings
122,116,Houston Rockets,San Antonio Spurs
114,116,Los Angeles Clippers,Utah Jazz
